section,probe,value,notes
row_counts_and_ranges,BPS_PERMITS_COUNTY_ROWS,3051480,
row_counts_and_ranges,LAUS_CBSA_ROWS,167968,
row_counts_and_ranges,LAUS_COUNTY_ROWS,5548860,
row_counts_and_ranges,LODES_OD_BG_ROWS,64098606,
row_counts_and_ranges,LAUS_CBSA_DATE_MIN,1990-01-01,
row_counts_and_ranges,LAUS_CBSA_DATE_MAX,2025-12-01,
row_counts_and_ranges,LODES_OD_BG_VINTAGE_MIN,2023,single_vintage_in_account_snapshot
row_counts_and_ranges,LODES_OD_BG_VINTAGE_MAX,2023,single_vintage_in_account_snapshot
information_schema_column_counts,BPS_PERMITS_COUNTY_COLUMNS,16,
information_schema_column_counts,CENSUS_ACS5_COLUMNS,16,
information_schema_column_counts,LAUS_CBSA_COLUMNS,9,
information_schema_column_counts,LAUS_COUNTY_COLUMNS,9,
information_schema_column_counts,LODES_OD_BG_COLUMNS,20,
grain_dup_probes,BPS_DUP_GRAIN_ROWS,424200,count_of_key_groups_having_count_gt_1_on_probe_keys_in_phase1_sql_review_with_de
grain_dup_probes,LAUS_COUNTY_DUP_GRAIN_ROWS,0,
