concept_code,geo_level_code,is_primary
rent,zip,FALSE
rent,county,FALSE
rent,cbsa,FALSE
rent,state,FALSE
occupancy,zip,FALSE
occupancy,county,FALSE
occupancy,cbsa,FALSE
occupancy,state,FALSE
vacancy,county,FALSE
vacancy,cbsa,FALSE
employment,county,FALSE
employment,cbsa,FALSE
employment,state,FALSE
unemployment,county,FALSE
unemployment,cbsa,FALSE
unemployment,state,FALSE
permits,cbsa,FALSE
migration,county,FALSE
migration,cbsa,FALSE
population,county,FALSE
population,cbsa,FALSE
homeprice,zip,FALSE
homeprice,county,FALSE
homeprice,cbsa,FALSE
homeprice,state,FALSE
absorption,county,FALSE
absorption,cbsa,FALSE
supply_pipeline,county,FALSE
supply_pipeline,cbsa,FALSE
pipeline,county,FALSE
pipeline,cbsa,FALSE
crime,cbsa,FALSE
school_quality,county,FALSE
school_quality,cbsa,FALSE
education,county,FALSE
education,cbsa,FALSE
income,county,FALSE
income,cbsa,FALSE
noi,property,FALSE
dscr,property,FALSE
cap_rate,property,FALSE
cap_rate,zip,FALSE
cap_rate,county,FALSE
cap_rate,cbsa,FALSE
ltv,property,FALSE
delinquency,county,FALSE
delinquency,cbsa,FALSE
concession,zip,FALSE
concession,county,FALSE
concession,cbsa,FALSE
automation,national,FALSE
automation,county,FALSE
automation,cbsa,FALSE
spine,property,FALSE
underwriting,property,FALSE
rates,national,FALSE
inflation,national,FALSE
wages,national,FALSE
wages,county,FALSE
wages,cbsa,FALSE
wages,state,FALSE
labor,county,FALSE
labor,cbsa,FALSE
transactions,county,FALSE
transactions,cbsa,FALSE
multifamily_market,county,FALSE
multifamily_market,cbsa,FALSE
listings,zip,FALSE
listings,county,FALSE
listings,cbsa,FALSE
housing_stock,property,FALSE
housing_stock,zip,FALSE
housing_stock,county,FALSE
housing_stock,cbsa,FALSE
disposition,property,FALSE
