concept_code,vertical_code
rent,resi
rent,req
rent,red
occupancy,resi
occupancy,req
occupancy,red
vacancy,resi
vacancy,req
vacancy,red
employment,resi
employment,req
employment,red
unemployment,resi
unemployment,req
unemployment,red
permits,resi
permits,req
permits,red
migration,resi
migration,req
migration,red
population,resi
population,req
population,red
homeprice,resi
homeprice,req
homeprice,red
absorption,resi
absorption,req
absorption,red
supply_pipeline,resi
supply_pipeline,req
supply_pipeline,red
pipeline,resi
pipeline,req
pipeline,red
crime,resi
crime,req
crime,red
school_quality,resi
school_quality,req
school_quality,red
education,resi
education,req
education,red
income,resi
income,req
income,red
noi,resi
noi,req
dscr,red
cap_rate,resi
cap_rate,req
cap_rate,red
ltv,red
delinquency,resi
delinquency,req
concession,resi
concession,req
concession,red
automation,resi
automation,req
automation,red
spine,resi
underwriting,resi
rates,resi
rates,req
rates,red
inflation,resi
inflation,req
inflation,red
wages,resi
wages,req
wages,red
labor,resi
labor,req
labor,red
transactions,resi
transactions,req
transactions,red
multifamily_market,resi
listings,resi
listings,req
listings,red
housing_stock,resi
housing_stock,req
housing_stock,red
disposition,resi
