dataset_code,vertical_code
bkfs_loan_monthly,red
bkfs_property_monthly,red
markerr_rent_property_monthly,resi
markerr_rent_listings_monthly,resi
markerr_rent_sfr_monthly,resi
zonda_btr_h3_monthly,req
zonda_survey_historical,req
parcllabs_ownership_cbsa_monthly,resi
jbrec_sfr_cbsa_monthly,resi
jbrec_btr_cbsa_quarterly,req
jbrec_mf_cbsa_quarterly,resi
apartmentiq_bh_property_monthly,resi
apartment_list_cbsa_monthly,resi
yardi_progress_property_daily,resi
yardi_bh_property_daily,resi
yardi_matrix_bh_monthly,resi
funnel_bh_unit_daily,resi
anchor_loans_portfolio_monthly,red
selene_properties_monthly,red
